Time,SL1_CVC1_DVH3_MT040.iRunningF,SL1_SOL_010.oRawOutput,SL1_SOL_011.oRawOutput,SL1_CVC1_DVH3.qRestraintEngaged,SL1_PIT_005.qInput,SL1_PIT_006.qInput,SL1_PIT_007.qInput
12-Jan-26 21:07:55,0,0,0,1,6.822309017,31.3618679,18.17444992
12-Jan-26 21:07:56,0,0,0,1,7.185473442,31.81582451,17.03956032
12-Jan-26 21:07:57,0,0,0,1,7.185473442,31.81582451,17.03956032
12-Jan-26 21:07:58,0,0,0,1,7.185473442,32.74967575,16.75583649
12-Jan-26 21:07:59,0,0,0,1,7.185473442,32.74967575,16.75583649
12-Jan-26 21:08:00,0,0,0,1,7.185473442,31.67315292,16.65045357
12-Jan-26 21:08:01,0,0,0,1,7.185473442,31.67315292,16.65045357
12-Jan-26 21:08:02,0,0,0,1,6.952010632,31.5045414,16.78826141
12-Jan-26 21:08:03,0,0,0,1,6.952010632,31.5045414,16.78826141
12-Jan-26 21:08:04,0,0,0,1,6.420233727,30.59662819,16.61802864
12-Jan-26 21:08:05,0,0,0,1,6.420233727,30.59662819,16.61802864
12-Jan-26 21:08:06,0,0,0,1,6.420233727,31.20622635,16.16407204
12-Jan-26 21:08:07,0,0,0,1,6.420233727,31.20622635,16.16407204
12-Jan-26 21:08:08,0,0,0,1,6.420233727,30.47989655,15.86413765
12-Jan-26 21:08:09,0,0,0,1,6.420233727,30.47989655,15.86413765
12-Jan-26 21:08:10,0,0,0,1,6.420233727,31.41374969,16.27756119
12-Jan-26 21:08:11,0,0,0,1,6.420233727,31.41374969,16.27756119
12-Jan-26 21:08:12,0,0,0,1,6.420233727,30.90791321,15.79118061
12-Jan-26 21:08:13,0,0,0,1,6.420233727,30.90791321,15.79118061
12-Jan-26 21:08:14,0,0,0,1,6.420233727,31.07652473,16.08300972
12-Jan-26 21:08:15,0,0,0,1,6.420233727,31.07652473,16.08300972
12-Jan-26 21:08:16,0,0,0,1,6.731517792,31.38780975,14.95622635
12-Jan-26 21:08:17,0,0,0,1,6.731517792,31.38780975,14.95622635
12-Jan-26 21:08:18,0,0,0,1,6.964980602,30.44098663,15.13456535
12-Jan-26 21:08:19,0,0,0,1,6.964980602,30.44098663,15.13456535
12-Jan-26 21:08:20,0,0,0,1,6.381323338,30.7263298,15.55609608
12-Jan-26 21:08:21,0,0,0,1,6.381323338,30.7263298,15.55609608
12-Jan-26 21:08:22,0,0,0,1,6.381323338,29.13100052,15.22373581
12-Jan-26 21:08:23,0,0,0,1,6.381323338,29.13100052,15.22373581
12-Jan-26 21:08:24,0,0,0,1,6.679636955,30.38910675,15.28858662
12-Jan-26 21:08:25,0,0,0,1,6.679636955,30.38910675,15.28858662
12-Jan-26 21:08:26,0,0,0,1,6.913100243,30.80415154,14.17801571
12-Jan-26 21:08:27,0,0,0,1,6.913100243,30.80415154,14.17801571
12-Jan-26 21:08:28,0,0,0,1,6.913100243,29.77950859,14.72114182
12-Jan-26 21:08:29,0,0,0,1,6.913100243,29.77950859,14.72114182
12-Jan-26 21:08:30,0,0,0,1,6.913100243,29.0920887,15.32101154
12-Jan-26 21:08:31,0,0,0,1,6.913100243,29.0920887,15.32101154
12-Jan-26 21:08:32,0,0,0,1,6.913100243,31.1413765,14.68871593
12-Jan-26 21:08:33,0,0,0,1,6.913100243,31.1413765,14.68871593
12-Jan-26 21:08:34,0,0,0,1,6.913100243,29.22179031,14.5914402
12-Jan-26 21:08:35,0,0,0,1,6.913100243,29.22179031,14.5914402
12-Jan-26 21:08:36,0,0,0,1,6.913100243,29.67574692,13.71595383
12-Jan-26 21:08:37,0,0,0,1,6.913100243,29.67574692,13.71595383
12-Jan-26 21:08:38,0,0,0,1,6.446174145,30.62257004,14.06452656
12-Jan-26 21:08:39,0,0,0,1,6.446174145,30.62257004,14.06452656
12-Jan-26 21:08:40,0,0,0,1,6.329442501,28.59922218,15.22373581
12-Jan-26 21:08:41,0,0,0,1,6.329442501,28.59922218,15.22373581
12-Jan-26 21:08:42,0,0,0,1,6.887159824,29.14397049,14.39688778
12-Jan-26 21:08:43,0,0,0,1,6.887159824,29.14397049,14.39688778
12-Jan-26 21:08:44,0,0,0,1,6.887159824,30.75227165,14.05642033
12-Jan-26 21:08:45,0,0,0,1,6.887159824,30.75227165,14.05642033
12-Jan-26 21:08:46,0,0,0,1,6.887159824,30.00000191,14.04831409
12-Jan-26 21:08:47,0,0,0,1,6.887159824,30.00000191,14.04831409
12-Jan-26 21:08:48,0,0,0,1,6.887159824,28.62516403,13.84565544
12-Jan-26 21:08:49,0,0,0,1,6.887159824,28.62516403,13.84565544
12-Jan-26 21:08:50,0,0,0,1,6.887159824,28.7289238,14.03210163
12-Jan-26 21:08:51,0,0,0,1,6.887159824,28.7289238,14.03210163
12-Jan-26 21:08:52,0,0,0,1,6.887159824,29.1828804,13.10797691
12-Jan-26 21:08:53,0,0,0,1,6.887159824,29.1828804,13.10797691
12-Jan-26 21:08:54,0,0,0,1,6.887159824,29.29961205,13.41601849
12-Jan-26 21:08:55,0,0,0,1,6.887159824,29.29961205,13.41601849
12-Jan-26 21:08:56,0,0,0,1,6.887159824,28.71595383,13.87808037
12-Jan-26 21:08:57,0,0,0,1,6.887159824,28.71595383,13.87808037
12-Jan-26 21:08:58,0,0,0,1,6.887159824,28.71595383,13.28631687
12-Jan-26 21:08:59,0,0,0,1,6.887159824,28.71595383,13.28631687
12-Jan-26 21:09:00,0,0,0,1,6.887159824,28.57328224,13.41601849
12-Jan-26 21:09:01,0,0,0,1,6.887159824,28.57328224,13.41601849
12-Jan-26 21:09:02,0,0,0,1,6.887159824,29.13100052,13.18904018
